2196,↖,North west arrow,⠀⠫⠘⠪⠒⠒⠀,⠳⠱
2197,↗,North east arrow,⠀⠫⠘⠒⠒⠕⠀,⠳⠎
2198,↘,South east arrow,⠀⠫⠰⠒⠒⠕⠀,⠳⠣
2199,↙,South west arrow,⠀⠫⠰⠪⠒⠒⠀,⠳⠜
219A,↚,Leftwards arrow w stroke,⠀⠳⠈⠫⠪⠒⠒⠻⠀,
219B,↛,Rightwards arrow w stroke,⠀⠳⠈⠫⠒⠒⠕⠻⠀,
219C,↜,Leftwards wave arrow,⠀⠫⠪⠔⠒⠢⠀,
219D,↝,Rightwards wave arrow,⠀⠫⠔⠒⠢⠕⠀,
219E,↞,Leftwards two headed arrow,⠀⠫⠪⠪⠒⠒⠀,
219F,↟,Upwards two headed arrow,⠀⠫⠣⠒⠒⠕⠕⠀,
21A0,↠,Rightwards two headed arrow,⠀⠫⠒⠒⠕⠕⠀,
21A1,↡,Downwards two headed arrow,⠀⠫⠩⠒⠒⠕⠕⠀,
21A2,↢,Leftwards arrow w tail,⠀⠫⠪⠒⠒⠠⠽⠀,
21A3,↣,Rightwards arrow w tail,⠀⠫⠠⠯⠒⠒⠕⠀,
21A4,↤,Leftwards arrow from bar,⠀⠫⠪⠒⠒⠳⠀,
21A5,↥,Upwards arrow from bar,⠀⠫⠣⠳⠒⠒⠕⠀,
21A6,↦,Rightwards arrow from bar,⠀⠫⠳⠒⠒⠕⠀,
21A7,↧,Downwards arrow from bar,⠀⠫⠩⠳⠒⠒⠕⠀,
21A8,↨,Up down arrow w base,⠀⠫⠣⠪⠒⠒⠕⠳⠀,
21A9,↩,Leftwards arrow w hook,⠀⠫⠪⠒⠒⠈⠽⠀,
21AA,↪,Rightwards arrow w hook,⠀⠫⠈⠯⠒⠒⠕⠀,
21AB,↫,Leftwards arrow w loop,,
21AC,↬,Rightwards arrow w loop,,
21AD,↭,Left right wave arrow,⠀⠫⠪⠔⠒⠢⠕⠀,
21AE,↮,Left right arrow w stroke,⠀⠳⠈⠫⠪⠒⠒⠕⠻⠀,
21AF,↯,Downwards zigzag arrow,⠀⠫⠩⠔⠢⠔⠕⠀,
21B4,↴,Rightwards arrow w corner downwards,⠀⠫⠩⠠⠳⠒⠕⠀,
21B5,↵,Downwards arrow w corner leftwards,⠀⠫⠪⠒⠈⠳⠀,
21B6,↶,Anticlockwise top semicircle arrow,,
21B7,↷,Clockwise top semicircle arrow,,
21BA,↺,Anticlockwise open circle arrow,⠀⠫⠢⠔⠕⠀,
21BB,↻,Clockwise open circle arrow,⠀⠫⠪⠢⠔⠀,
21BC,↼,Leftwards harpoon w barb upwards,⠀⠫⠈⠪⠒⠒⠀,
21BD,↽,Leftwards harpoon w barb downwards,⠀⠫⠠⠪⠒⠒⠀,
21BE,↾,Upwards harpoon w barb rightwards,⠀⠫⠣⠒⠒⠠⠕⠀,
21BF,↿,Upwards harpoon w barb leftwards,⠀⠫⠣⠒⠒⠈⠕⠀,
21C0,⇀,Rightwards harpoon w barb upwards,⠀⠫⠒⠒⠈⠕⠀,
21C1,⇁,Rightwards harpoon w barb downwards,⠀⠫⠒⠒⠠⠕⠀,
21C2,⇂,Downwards harpoon w barb rightwards,⠀⠫⠩⠒⠒⠈⠕⠀,
21C3,⇃,Downwards harpoon w barb leftwards,⠀⠫⠩⠒⠒⠠⠕⠀,
21C4,⇄,Rightwards arrow over leftwards arrow,⠀⠫⠒⠒⠕⠫⠪⠒⠒⠀,
21C5,⇅,Upwards arrow leftwards of downwards arrow,⠀⠫⠣⠒⠒⠕⠐⠫⠩⠒⠒⠕⠀,
21C6,⇆,Leftwards arrow over rightwards arrow,⠀⠫⠪⠒⠒⠫⠒⠒⠕⠀,
21C7,⇇,Leftwards paired arrows,⠀⠫⠪⠒⠒⠫⠪⠒⠒⠀,
21C8,⇈,Upwards paired arrows,⠀⠫⠣⠒⠒⠕⠐⠫⠣⠒⠒⠕⠀,
21C9,⇉,Rightwards paired arrows,⠀⠫⠒⠒⠕⠫⠒⠒⠕⠀,
21CA,⇊,Downwards paired arrows,⠀⠫⠩⠒⠒⠕⠐⠫⠩⠒⠒⠕⠀,
21CB,⇋,Leftwards harpoon over rightwards harpoon,⠀⠫⠈⠪⠒⠒⠫⠒⠒⠠⠕⠀,
21CC,⇌,Rightwards harpoon over leftwards harpoon,⠀⠫⠒⠒⠈⠕⠫⠠⠪⠒⠒⠀,
21CD,⇍,Leftwards double arrow w stroke,⠀⠳⠈⠫⠪⠶⠶⠻⠀,
21CE,⇎,Left right double arrow w stroke,⠀⠳⠈⠫⠪⠶⠶⠕⠻⠀,
21CF,⇏,Rightwards double arrow w stroke,⠀⠳⠈⠫⠶⠶⠕⠻⠀,
21D0,⇐,Leftwards double arrow,⠀⠫⠪⠶⠶⠀,⠰⠳⠶⠶⠪
21D1,⇑,Upwards double arrow,⠀⠫⠣⠶⠶⠕⠀,⠰⠳⠶⠶⠬
21D2,⇒,Rightwards double arrow,⠀⠫⠶⠶⠕⠀,⠰⠳⠶⠶⠕
21D3,⇓,Downwards double arrow,⠀⠫⠩⠶⠶⠕⠀,⠰⠳⠶⠶⠩
21D4,⇔,Left right double arrow,⠀⠫⠪⠶⠶⠕⠀,
21D5,⇕,Up down double arrow,⠀⠫⠣⠪⠶⠶⠕⠀,
21D6,⇖,North west double arrow,⠀⠫⠘⠪⠶⠶⠀,
21D7,⇗,North east double arrow,⠀⠫⠘⠶⠶⠕⠀,
21D8,⇘,South east double arrow,⠀⠫⠰⠶⠶⠕⠀,
21D9,⇙,South west double arrow ,⠀⠫⠰⠪⠶⠶⠀,
21DA,⇚,Leftwards triple arrow,⠀⠫⠪⠸⠸⠀,
21DB,⇛,Rightwards triple arrow,⠀⠫⠸⠸⠕⠀,
21DC,⇜,Leftwards squiggle arrow,⠀⠫⠪⠢⠤⠔⠒⠢⠀,
21DD,⇝,Rightwards squiggle arrow,⠀⠫⠢⠤⠔⠒⠢⠕⠀,
21DE,⇞,Upwards arrow w double stroke,⠀⠳⠳⠈⠫⠣⠒⠒⠕⠻⠀,
21DF,⇟,Downwards arrow w double stroke,⠀⠳⠳⠈⠫⠩⠒⠒⠕⠻⠀,
21E0,⇠,Leftwards dashed arrow,⠀⠫⠪⠒⠀⠒⠀,
21E1,⇡,Upwards dashed arrow,⠀⠫⠣⠒⠀⠒⠕⠀,
21E2,⇢,Rightwards dashed arrow,⠀⠫⠒⠀⠒⠕⠀,
21E3,⇣,Downwards dashed arrow,⠀⠫⠩⠒⠀⠒⠕⠀,
21E4,⇤,Leftwards arrow to bar,⠀⠳⠫⠪⠒⠒⠀,
21E5,⇥,Rightwards arrow to bar,⠀⠫⠒⠒⠕⠳⠀,
21E6,⇦,Leftwards white arrow,,
21E7,⇧,Upwards white arrow,,
21E8,⇨,Rightwards white arrow,,
21E9,⇩,Downwards white arrow,,
21F3,⇳,Up down white arrow,,
21F4,⇴,Right arrow w small circle,⠀⠨⠡⠈⠫⠒⠒⠕⠻⠀,
21F5,⇵,Downwards arrow leftwards of upwards arrow,⠀⠫⠩⠒⠒⠕⠐⠫⠣⠒⠒⠕⠀,
21F6,⇶,Three rightwards arrows,⠀⠫⠒⠒⠕⠫⠒⠒⠕⠫⠒⠒⠕⠀,
21F7,⇷,Leftwards arrow w vertical stroke,⠀⠳⠈⠫⠪⠒⠒⠻⠀,
21F8,⇸,Rightwards arrow w vertical stroke,⠀⠳⠈⠫⠒⠒⠕⠻⠀,
21F9,⇹,Left right arrow w vertical stroke,⠀⠳⠈⠫⠪⠒⠒⠕⠻⠀,
21FA,⇺,Leftwards arrow w double vertical stroke,⠀⠳⠳⠈⠫⠪⠒⠒⠻⠀,
21FB,⇻,Rightwards arrow w double vertical stroke,⠀⠳⠳⠈⠫⠒⠒⠕⠻⠀,
21FC,⇼,Left right arrow w double vertical stroke,⠀⠳⠳⠈⠫⠪⠒⠒⠕⠻⠀,
21FD,⇽,Leftwards open-headed arrow,,
21FE,⇾,Rightwards open-headed arrow,,
21FF,⇿,Left right open-headed arrow,,
2200,∀,For all,⠈⠯,⠘⠁
2202,∂,Partial differential,⠈⠙,⠈⠙
2203,∃,There exists,⠈⠿,⠘⠢
2204,∄,There does not exist,⠌⠈⠿,
2205,∅,Empty set,⠸⠴,⠈⠚
2207,∇,Nabla,⠨⠫,⠘⠙
2208,∈,Element of,⠀⠈⠑⠀,⠘⠑
2209,∉,Not an element of,⠀⠌⠈⠑⠀,
220B,∋,Contains as member,⠀⠈⠢⠀,⠈⠘⠑
220C,∌,Does not contain as member,⠀⠌⠈⠢⠀,
220E,∎,End of proof,⠸⠳,
2211,∑,N-ary summation,⠨⠠⠎,
2212,−,Minus sign,⠤,⠐⠤
2213,∓,Minus-or-plus sign,⠤⠬,⠸⠤
2214,∔,Dot plus,⠐⠬⠣⠡⠻,
2215,∕,Division slash ,⠸⠌,
2217,∗,Asterisk operator,⠈⠼,
2218,∘,Ring operator,⠨⠡,⠐⠴
221A,√,Square root,⠜,⠐⠩
221B,∛,Cube root,⠣⠒⠜,
221C,∜,Fourth root,⠣⠲⠜,
221D,∝,Proportional to,⠀⠸⠿⠀,⠸⠐⠶
221E,∞,Infinity,⠠⠿,⠼⠿
221F,∟,Right angle,⠫⠪⠨⠗⠻,
2220,∠,Angle,⠫⠪,⠸⠪
2221,∡,Measured angle,⠫⠪⠈⠫⠁⠻,⠨⠸⠪
2223,∣,Divides,⠀⠳⠀,
2224,∤,Does not divide,⠀⠌⠳⠀,
2225,∥,Parallel to,⠀⠫⠇⠀,⠼⠇
2226,∦,Not parallel to,⠀⠌⠫⠇⠀,
2227,∧,Logical AND,⠈⠩,⠈⠦
2228,∨,Logical OR,⠈⠬,⠈⠖
2229,∩,Intersection,⠨⠩,⠨⠦
222A,∪,Union,⠨⠬,⠨⠖
222B,∫,Integral,⠮,⠮
222C,∬,Double integral,⠮⠮,⠮⠮
222D,∭,Triple integral,⠮⠮⠮,⠮⠮⠮
222E,∮,Contour integral,⠮⠈⠫⠉⠻,⠈⠮
2232,∲,Clockwise contour integral ??? §156 has half arcs,⠮⠈⠫⠪⠢⠔⠻,
2233,∳,Anticlockwise contour integral ???,⠮⠈⠫⠢⠔⠕⠻,
2234,∴,Therefore,⠀⠠⠡⠀,⠠⠡
2235,∵,Because,⠀⠈⠌⠀,⠈⠌
2236,∶,Ratio,⠀⠐⠂⠀,⠒
2237,∷,Proportion,⠀⠰⠆⠀,⠒⠒
2238,∸,Dot minus,⠨⠤,
2239,∹,Excess,⠀⠤⠐⠂⠀,
223A,∺,Geometric proportion,⠀⠐⠤⠩⠡⠡⠣⠡⠡⠻⠀,
223B,∻,Homothetic,⠀⠐⠈⠱⠩⠡⠣⠡⠻⠀,
223C,∼,Tilde operator,⠀⠈⠱⠀,
223D,∽,Reversed tilde,⠀⠠⠱⠀,
2242,≂,Minus tilde,⠀⠱⠈⠱⠀,
2243,≃,Asymptotically equal to,⠀⠈⠱⠱⠀,⠸⠔
2245,≅,Approximately equal to,⠀⠈⠱⠨⠅⠀,⠐⠸⠔
2248,≈,Almost equal to,⠀⠈⠱⠈⠱⠀,⠘⠔
224A,≊,Almost equal or equal to,⠀⠈⠱⠈⠱⠱⠀,
224B,≋,Triple tilde,⠀⠈⠱⠈⠱⠈⠱⠀,
224C,≌,All equal to,⠀⠠⠱⠨⠅⠀,
224D,≍,Equivalent to,⠀⠫⠠⠫⠈⠀,
224E,≎,Geometrically equivalent to,⠀⠈⠣⠠⠣⠀,
224F,≏,Difference between,⠀⠈⠣⠱⠀,⠘⠐⠶
2250,≐,Approaches the limit,⠀⠐⠨⠅⠣⠡⠻⠀,
2251,≑,Geometrically equal to,⠀⠐⠨⠅⠩⠡⠣⠡⠻⠀,⠨⠐⠶
2254,≔,Colon equals,⠀⠐⠂⠨⠅⠀,
2255,≕,Equals colon,⠀⠨⠅⠐⠂⠀,
2256,≖,Ring in equal to,⠀⠨⠡⠈⠨⠅⠻⠀,
2257,≗,Ring equal to,⠀⠐⠨⠅⠣⠨⠡⠻⠀,
2258,≘,Corresponds to,⠀⠐⠨⠅⠣⠫⠁⠻⠀,
2259,≙,Estimates,⠀⠐⠨⠅⠣⠸⠣⠻⠀,
225A,≚,Equiangular to,⠀⠐⠨⠅⠣⠸⠩⠻⠀,
225B,≛,Star equals,⠀⠐⠨⠅⠣⠫⠎⠻⠀,
225C,≜,Delta equal to,⠀⠐⠨⠅⠣⠫⠞⠻⠀,
225D,≝,Equal to by definition,⠀⠐⠨⠅⠣⠙⠑⠋⠻⠀,
225E,≞,Measured by,⠀⠐⠨⠅⠣⠍⠻⠀,
225F,≟,Questioned equal to,⠀⠐⠨⠅⠣⠸⠢⠻⠀,
2260,≠,Not equal to,⠀⠌⠨⠅⠀,⠐⠶⠈⠱
2261,≡,Identical to,⠀⠸⠇⠀,⠸⠿
2262,≢,Not identical to,⠀⠌⠸⠇⠀,
2264,≤,Less-than or equal to,⠀⠐⠅⠱⠀,⠸⠈⠣
2265,≥,Greater-than or equal to,⠀⠨⠂⠱⠀,⠸⠈⠜
2266,≦,Less-than over equal to,⠀⠐⠅⠨⠅⠀,
2267,≧,Greater-than over equal to,⠀⠨⠂⠨⠅⠀,
2268,≨,Less-than but not equal to,⠀⠐⠅⠌⠨⠅⠀,
2269,≩,Greater-than but not equal to,⠀⠨⠂⠌⠨⠅⠀,
226A,≪,Much less-than,⠀⠐⠅⠈⠐⠅⠻⠀,⠨⠈⠣
226B,≫,Much greater-than,⠀⠨⠂⠈⠨⠂⠻⠀,⠨⠈⠜
226D,≭,Not equivalent to,⠀⠌⠈⠣⠠⠣⠀,
226E,≮,Not less-than,⠀⠌⠐⠅⠀,
226F,≯,Not greater-than,⠀⠌⠨⠂⠀,
2270,≰,Neither less-than nor equal to,⠀⠌⠐⠅⠱⠀,
2271,≱,Neither greater-than nor equal to,⠀⠌⠨⠂⠱⠀,
2272,≲,Less-than or equivalent to,⠀⠐⠅⠈⠱⠀,
2273,≳,Greater-than or equivalent to,⠀⠨⠂⠈⠱⠀,
2274,≴,Neither less-than nor equivalent to,⠀⠌⠐⠅⠈⠱⠀,
2275,≵,Neither greater-than nor equivalent to,⠀⠌⠨⠂⠈⠱⠀,
2276,≶,Less-than or greater-than,⠀⠐⠅⠨⠂⠀,
2277,≷,Greater-than or less-than,⠀⠨⠂⠐⠅⠀,
2278,≸,Neither less-than nor greater-than,⠀⠌⠐⠅⠨⠂⠀,
2279,≹,Neither greater-than nor less-than,⠀⠌⠨⠂⠐⠅⠀,
227A,≺,Precedes,⠀⠨⠐⠅⠀,
227B,≻,Succeeds,⠀⠨⠨⠂⠀,
227E,≾,Precedes or equivalent to,⠀⠨⠐⠅⠈⠱⠀,
227F,≿,Succeeds or equivalent to,⠀⠨⠨⠂⠈⠱⠀,
2282,⊂,Subset of,⠀⠸⠐⠅⠀,⠘⠣
2283,⊃,Superset of,⠀⠸⠨⠂⠀,⠘⠜
2284,⊄,Not a subset of,⠀⠌⠸⠐⠅⠀,
2285,⊅,Not a superset of,⠀⠌⠸⠨⠂⠀,
2286,⊆,Subset of or equal to,⠀⠸⠐⠅⠱⠀,⠸⠘⠣
2287,⊇,Superset of or equal to,⠀⠸⠨⠂⠱⠀,⠸⠘⠜
2288,⊈,Neither a subset of nor equal to,⠀⠌⠸⠐⠅⠱⠀,
2289,⊉,Neither a superset of nor equal to,⠀⠌⠸⠨⠂⠱⠀,
228A,⊊,Subset of w not equal to,⠀⠸⠐⠅⠌⠱⠀,⠨⠘⠣
228B,⊋,Superset of w not equal to,⠀⠸⠨⠂⠌⠱⠀,⠨⠘⠜
228C,⊌,Multiset,⠨⠬⠈⠫⠪⠒⠻,
228D,⊍,Multiset multiplication,⠡⠈⠨⠬⠻,
228E,⊎,Multiset union,⠬⠈⠨⠬⠻,
2295,⊕,Circled plus,⠫⠉⠸⠫⠬⠻,⠰⠫⠿⠪⠐⠖⠱
2296,⊖,Circled minus,⠫⠉⠸⠫⠤⠻,
2297,⊗,Circled times,⠫⠉⠸⠫⠈⠡⠻,
2298,⊘,Circled division slash,⠫⠉⠸⠫⠸⠌⠻,
2299,⊙,Circled dot operator,⠫⠉⠸⠫⠡⠻,
229B,⊛,Circled asterisk operator,⠫⠉⠸⠫⠈⠼⠻,
229C,⊜,Circled equals,⠫⠉⠸⠫⠨⠅⠻,
229D,⊝,Circled dash,⠫⠉⠸⠫⠤⠤⠻,
229E,⊞,Squared plus,⠫⠲⠸⠫⠬⠻,
229F,⊟,Squared minus,⠫⠲⠸⠫⠤⠻,
22A0,⊠,Squared times,⠫⠲⠸⠫⠈⠡⠻,
22A1,⊡,Squared dot operator,⠫⠲⠸⠫⠡⠻,
22A2,⊢,Right tack,⠀⠫⠳⠒⠀,
22A3,⊣,Left tack,⠀⠫⠒⠳⠀,⠈⠸⠒
22A4,⊤,Down tack,⠀⠫⠩⠳⠒⠀,
22A5,⊥,Up tack (See also 27C2),⠀⠫⠏⠀ or ⠀⠫⠣⠳⠒⠀,⠼⠤
22A6,⊦,Assertion,,⠸⠒
22A8,⊨,TRUE,,⠘⠸⠒
22B2,⊲,Normal subgroup of,,⠈⠸⠣
22B3,⊳,Contains as normal subgroup,,⠈⠸⠜
22B4,⊴,Normal subgroup of or equal to,,⠸⠸⠣
22B5,⊵,Contains as normal subgroup or equal to,,⠸⠸⠜
22B6,⊶,Original of,⠀⠫⠨⠡⠒⠡⠀,
22B7,⊷,Image of,⠀⠫⠡⠒⠨⠡⠀,
22B8,⊸,Multimap,⠀⠫⠒⠨⠡⠀,
22BE,⊾,Right angle w arc,,⠼⠸⠪
22BF,⊿,Right triangle,⠫⠞⠨⠗⠻,
22C5,⋅,Dot operator,⠡,⠐⠲
22C6,⋆,Star operator,⠫⠎,
22CD,⋍,Reversed tilde equals,⠀⠠⠱⠱⠀,
22D6,⋖,Less-than w dot,⠀⠡⠈⠐⠅⠻⠀,
22D7,⋗,Greater-than w dot,⠀⠡⠈⠨⠂⠻⠀,
22D8,⋘,Much less-than,⠀⠐⠅⠈⠐⠅⠈⠐⠅⠻⠀,
22D9,⋙,Much greater-than,⠀⠨⠂⠈⠨⠂⠈⠨⠂⠻⠀,
22DC,⋜,Equal to or less-than,⠀⠱⠐⠅⠀,
22DD,⋝,Equal to or greater-than,⠀⠱⠨⠂⠀,
22EE,⋮,Vertical ellipsis,⠀⠩⠒⠒⠒⠀,
22EF,⋯,Midline horizontal ellipsis,⠀⠒⠒⠒,
22F0,⋰,Up right diagonal ellipsis,⠀⠘⠒⠒⠒⠀,
22F1,⋱,Down right diagonal ellipsis,⠀⠰⠒⠒⠒⠀,
22F2,⋲,Element of w long horizontal stroke,⠀⠱⠈⠈⠑⠻⠀,
22F5,⋵,Element of w dot above,⠀⠐⠈⠑⠣⠡⠻⠀,
22F6,⋶,Element of w overbar,⠀⠱⠈⠑⠀,
22FA,⋺,Contains w long horizontal stroke,⠀⠱⠈⠈⠢⠻⠀,
22FD,⋽,Contains w overbar,⠀⠱⠈⠢⠀,
2308,⌈,Left ceiling,⠈⠘⠷,
2309,⌉,Right ceiling,⠈⠘⠾,
230A,⌊,Left floor,⠈⠰⠷,
230B,⌋,Right floor,⠈⠰⠾,
2322,⌢,Frown,⠀⠫⠁⠀,
2323,⌣,Smile,⠀⠫⠄⠀,
25A0,■,Filled square,⠫⠸⠲,
25A1,□,Square,⠫⠲,
25AC,▬,Filled rectangle,⠫⠸⠗,
25AD,▭,Rectangle,⠫⠗,
25B2,▲,Black up-pointing triangle,⠫⠸⠞,
25B3,△,White up-pointing triangle,⠫⠞,
25BC,▼,Black down-pointing triangle,⠸⠨⠫,
25CB,○,White circle,⠫⠉,⠿
25CF,●,Black circle,⠫⠸⠉,
25EB,◫,White square w vertical bisecting line,⠫⠲⠸⠫⠳⠻,
27C2,⊥,Perpendicular,⠀⠫⠏⠀,
27C3,⟃,Open subset,⠀⠨⠡⠈⠸⠐⠅⠻⠀,
27C4,⟄,Open superset,⠀⠨⠡⠈⠸⠨⠂⠻⠀,
27DC,⟜,Left multimap,⠀⠫⠨⠡⠒⠒⠀,
27DD,⟝,Long right tack,⠀⠫⠳⠒⠒⠀,
27DE,⟞,Long left tack,⠀⠫⠒⠒⠳⠀,
27DF,⟟,Up tack w circle above,⠫⠣⠳⠒⠒⠨⠡,
27E6,⟦,Mathematical left white square bracket,⠈⠸⠷,
27E7,⟧,Mathematical right white square bracket,⠈⠸⠾,
27E8,⟨,Mathematical left angle bracket,⠨⠨⠷,
